TeamID,Home_Goals,Away_Goals,Home_games,Away_games,avg_home_goals,avg_away_goals
15,88,71,27,27,3.2593,2.6296
8,77,53,27,27,2.8519,1.963
4,70,66,27,27,2.5926,2.4444
19,55,53,27,27,2.037,1.963
5,72,58,27,27,2.6667,2.1481
6,58,52,27,27,2.1481,1.9259
27,55,63,27,27,2.037,2.3333
21,57,41,27,27,2.1111,1.5185
24,61,47,27,27,2.2593,1.7407
7,55,42,27,27,2.037,1.5556
22,51,25,27,27,1.8889,0.9259
23,51,35,27,27,1.8889,1.2963
1,49,31,27,27,1.8148,1.1481
17,65,24,27,27,2.4074,0.8889
11,53,26,27,27,1.963,0.963
28,33,37,27,27,1.2222,1.3704
13,47,30,27,27,1.7407,1.1111
18,33,30,27,27,1.2222,1.1111
14,36,27,27,27,1.3333,1
3,28,40,27,27,1.037,1.4815
12,35,28,27,27,1.2963,1.037
9,22,29,27,27,0.8148,1.0741
26,26,21,27,27,0.963,0.7778
10,28,15,27,27,1.037,0.5556
25,21,20,27,27,0.7778,0.7407
2,27,16,27,27,1,0.5926
16,30,23,27,27,1.1111,0.8519
20,20,27,27,27,0.7407,1
